ImgName,Cluster_Label,Coordinate,Quaternion
22970285_1555392901779869.jpg,63,[ 488.92883  -396.41934     2.296799],[ 0.5463817  -0.45732027  0.45162278 -0.5369935 ]
22970285_1555392902779869.jpg,63,[ 488.92755   -396.41293      2.2965164],[ 0.54628944 -0.4572444   0.451734   -0.5370585 ]
22970285_1555392903779869.jpg,63,[ 488.92654   -396.43066      2.2965646],[ 0.5463756  -0.45738342  0.45153317 -0.5370214 ]
22970285_1555392904779869.jpg,63,[ 488.92386   -396.42963      2.2967815],[ 0.5463418  -0.45733598  0.45160767 -0.53703344]
22970285_1555392905779869.jpg,63,[ 488.9237    -396.43027      2.2969024],[ 0.5463371  -0.4573679   0.45158672 -0.5370287 ]
22970285_1555392906779869.jpg,63,[ 488.9269    -396.4298       2.2968638],[ 0.5463647  -0.45733383  0.45160982 -0.53701013]
22970285_1555392907779869.jpg,63,[ 488.92352   -396.43048      2.2964134],[ 0.5463531  -0.4573565   0.45159802 -0.5370126 ]
22970285_1555392908779869.jpg,63,[ 488.92505   -396.4304       2.2958117],[ 0.5463206  -0.45733252  0.4516576  -0.537016  ]
22970285_1555392909779869.jpg,63,[ 488.92615   -396.43176      2.2964835],[ 0.54634655 -0.4573707   0.45155933 -0.5370397 ]
22970285_1555392910779869.jpg,63,[ 488.9268   -396.43106     2.296098],[ 0.546334   -0.45731053  0.45161548 -0.53705645]
22970285_1555392911779869.jpg,63,[ 488.92432  -396.431       2.296767],[ 0.54634506 -0.45736644  0.45159855 -0.5370119 ]
22970285_1555392912779869.jpg,63,[ 488.92682   -396.43063      2.2969427],[ 0.5463539  -0.45734757  0.45156258 -0.53704923]
22970285_1555392913779869.jpg,63,[ 488.92578   -396.43405      2.2983277],[ 0.5440875  -0.45539767  0.45365402 -0.53924   ]
22970285_1555392914779869.jpg,63,[ 488.9235    -396.47742      2.2956026],[-0.44104502  0.36879817 -0.5270538   0.62584466]
22970285_1555392915779869.jpg,1973,[ 488.8991    -396.52142      2.2945852],[-0.31018636  0.25952885 -0.5890055   0.699644  ]
22970285_1555392916779869.jpg,1973,[ 488.858     -396.54935      2.2977152],[-0.16800325  0.14043982 -0.6283219   0.7465006 ]
22970285_1555392917779869.jpg,7875,[ 488.8085    -396.56024      2.2933025],[-0.01933737  0.01622449 -0.6436732   0.76488405]
22970285_1555392918779869.jpg,7875,[ 488.76123   -396.5557       2.2964358],[ 0.12588018 -0.10506386 -0.635077    0.75484633]
22970285_1555392919779869.jpg,7204,[ 488.72482   -396.52917      2.2954218],[ 0.26486477 -0.22154802 -0.6042003   0.7181261 ]
22970285_1555392920779869.jpg,6365,[ 488.70096   -396.4872       2.2967055],[ 0.39609748 -0.33157048 -0.5509327   0.65547   ]
22970285_1555392921779869.jpg,6365,[ 488.68753   -396.4457       2.2979076],[ 0.52382725 -0.4389786  -0.46896982  0.5594373 ]
22970285_1555392922779869.jpg,1628,[ 488.6892    -396.39487      2.2976472],[ 0.6369616  -0.5336324  -0.35711572  0.42659667]
22970285_1555392923779869.jpg,1628,[ 488.73547   -396.34894      2.2943413],[ 0.7174859  -0.60096306 -0.22561368  0.27047327]
22970285_1555392924779869.jpg,437,[ 488.78043  -396.32712     2.294311],[ 0.7604921  -0.6369811  -0.08020513  0.09733422]
22970285_1555392925779869.jpg,437,[ 488.8342    -396.32474      2.2926314],[ 0.7624377  -0.6382444   0.06933257 -0.08078238]
22970285_1555392926779869.jpg,437,[ 488.87463   -396.3534       2.2956736],[ 0.7158292  -0.59903306  0.23181854 -0.27387613]
22970285_1555392927779869.jpg,63,[ 488.899     -396.40228      2.2933362],[ 0.62264645 -0.52048874  0.37744296 -0.4460266 ]
22970285_1555392928779869.jpg,63,[ 488.8916   -396.46707     2.298258],[-0.48712572  0.40687615 -0.4985164   0.5904589 ]
22970285_1555392929779869.jpg,1973,[ 488.88553   -396.51883      2.2995477],[-0.3138362   0.26246807 -0.5880969   0.6976814 ]
22970285_1555392930779869.jpg,1973,[ 488.84152   -396.55045      2.2988765],[-0.12202315  0.10204216 -0.6360875   0.7550433 ]
22970285_1555392931779869.jpg,1087,[ 488.8895    -396.75143      2.2947712],[-0.0895642   0.0743553  -0.63946027  0.7599606 ]
22970285_1555392932779869.jpg,8824,[ 488.9934   -397.24554     2.291698],[-0.07777404  0.06302441 -0.63933486  0.7623845 ]
22970285_1555392933779869.jpg,9177,[ 489.13464  -397.89648     2.293638],[-0.08237727  0.06710474 -0.6413608   0.75984687]
22970285_1555392934779869.jpg,4404,[ 489.2657    -398.5015       2.2810633],[-0.07975046  0.06553855 -0.64180917  0.75988525]
22970285_1555392935779869.jpg,210,[ 489.38818   -399.07123      2.2841983],[-0.07844186  0.06598239 -0.6393653   0.76204014]
22970285_1555392936779869.jpg,851,[ 489.52655   -399.7207       2.2773783],[-0.07746424  0.06289146 -0.6413007   0.7607742 ]
22970285_1555392937779869.jpg,3896,[ 489.70084  -400.42383     2.270935],[-0.0954529   0.07945878 -0.6392819   0.75887656]
22970285_1555392938779869.jpg,5729,[ 489.90143   -401.11346      2.2711058],[-0.11217158  0.09470398 -0.6354832   0.7580302 ]
22970285_1555392939779869.jpg,3149,[ 490.12778   -401.83243      2.2713337],[-0.12077301  0.09841861 -0.6356646   0.7560808 ]
22970285_1555392940779869.jpg,6707,[ 490.39087   -402.59924      2.2692058],[-0.12601165  0.10365332 -0.6328853   0.7568575 ]
22970285_1555392941779869.jpg,1281,[ 490.67      -403.39072      2.2675202],[-0.12895848  0.10573648 -0.63488036  0.75439805]
22970285_1555392942779869.jpg,4293,[ 490.97656   -404.22723      2.2626028],[-0.13251448  0.10902088 -0.63489467  0.75330144]
22970285_1555392943779869.jpg,1867,[ 491.29578  -405.0755      2.260264],[-0.13833725  0.11382473 -0.631909    0.7540542 ]
22970285_1555392944779869.jpg,9036,[ 491.63287   -405.94055      2.2615268],[-0.14230454  0.11791365 -0.6321539   0.7524807 ]
22970285_1555392945779869.jpg,6611,[ 491.96182   -406.7353       2.2574403],[-0.14732414  0.12231057 -0.6307384   0.7520006 ]
22970285_1555392946779869.jpg,3935,[ 492.29184   -407.53433      2.2566113],[-0.1512896   0.12442205 -0.63037974  0.7511671 ]
22970285_1555392947779869.jpg,2452,[ 492.6476    -408.34         2.2597804],[-0.15532666  0.1283673  -0.6278019   0.7518379 ]
22970285_1555392948779869.jpg,1585,[ 492.934     -408.98853      2.2607248],[-0.15783125  0.13250732 -0.62740153  0.7509317 ]
22970285_1555392949779869.jpg,9268,[ 493.1753    -409.6765       2.2589464],[-0.10108652  0.0830956  -0.6377027   0.75908625]
