ImgName,Cluster_Label,Coordinate,Quaternion
22970285_1555396547779869.jpg,4452,[ 498.00488   -436.80432     -4.7894874],[ 0.55949587 -0.46982133  0.4388751  -0.52308786]
22970285_1555396548779869.jpg,4452,[ 498.0045   -436.80762    -4.789706],[ 0.55923885 -0.4705544   0.43927684 -0.5223661 ]
22970285_1555396549779869.jpg,4452,[ 498.0013    -436.81015     -4.7893953],[ 0.55933267 -0.4708679   0.43913683 -0.5221008 ]
22970285_1555396550779869.jpg,4452,[ 498.0021    -436.8091      -4.7892084],[ 0.55936474 -0.4705611   0.4390813  -0.52238965]
22970285_1555396551779869.jpg,4452,[ 498.0033   -436.8097     -4.788919],[ 0.5594219  -0.47062668  0.43902978 -0.52231264]
22970285_1555396552779869.jpg,4452,[ 498.00705  -436.8114     -4.789094],[ 0.558602   -0.46962577  0.4397102  -0.5235174 ]
22970285_1555396553779869.jpg,4452,[ 498.00342 -436.81293   -4.78839],[ 0.5591306  -0.4706957   0.43921635 -0.5224055 ]
22970285_1555396554779869.jpg,4452,[ 498.00198   -436.8091      -4.7886157],[ 0.559438   -0.47046316  0.43894264 -0.52251595]
22970285_1555396555779869.jpg,4452,[ 498.00235 -436.8111    -4.78898],[ 0.55932146 -0.47051436  0.43903255 -0.52251905]
22970285_1555396556779869.jpg,4452,[ 498.0008    -436.80905     -4.7887917],[ 0.559427   -0.47065917  0.43901306 -0.52229196]
22970285_1555396557779869.jpg,4452,[ 498.00293   -436.8096      -4.7897296],[ 0.5593851  -0.4707603   0.43893507 -0.5223113 ]
22970285_1555396558779869.jpg,4452,[ 498.0017    -436.81387     -4.7889876],[ 0.559073   -0.47031567  0.4392425  -0.52278733]
22970285_1555396559779869.jpg,4452,[ 498.02124   -436.80652     -4.7873707],[ 0.5627256  -0.4715565   0.43489262 -0.52138543]
22970285_1555396560779869.jpg,1059,[ 498.25897  -436.78305    -4.789663],[ 0.57284015 -0.47980574  0.4253137  -0.51063573]
22970285_1555396561779869.jpg,4536,[ 498.52      -436.74698     -4.7861342],[ 0.574939   -0.48024023  0.42406517 -0.5089039 ]
22970285_1555396562779869.jpg,1992,[ 498.89426  -436.69434    -4.786404],[ 0.57829976 -0.48435265  0.42252064 -0.5024423 ]
22970285_1555396563779869.jpg,3561,[ 498.94727  -436.66608    -4.786954],[ 0.61065596 -0.51138884  0.38892668 -0.46294358]
22970285_1555396564779869.jpg,7519,[ 498.9578   -436.60532    -4.786871],[ 0.68779206 -0.57670933  0.28355584 -0.33755666]
22970285_1555396565779869.jpg,1992,[ 498.8726    -436.5749      -4.7860184],[ 0.75957245 -0.6369001   0.08500902 -0.10090306]
22970285_1555396566779869.jpg,1992,[ 498.82114  -436.5596     -4.786768],[ 0.75774634 -0.6356696  -0.09450441  0.11319716]
22970285_1555396567779869.jpg,2605,[ 498.76273  -436.58658    -4.788093],[ 0.7049894  -0.59135795 -0.2518822   0.29973504]
